catchment,surrogate,n,n_eff,rho_unit,rho_area,rho_area_lev
Roper,sig_landsys,6342,1988.4,0.02821976059680086,0.24433015937611013,0.1262474700379829
Roper,sig_nvis_mvg,6329,2490.2,0.24165341848576413,-0.17282168838128595,0.20674427592977934
Roper,cond_dea,3325,1353.7,0.3808875834967996,-0.0506438535299348,0.11101132301321877
Roper,convertibility,4573,1534.2,0.23988324896921995,0.17931990748068646,-0.019084951042427918
Roper,protection,6342,2076.7,-0.013109995300032876,-0.17525020672260283,0.02970831854031657
Larrimah,sig_landsys,19,19.0,-0.031463379515048885,0.5167097409051081,0.09823795697342619
Larrimah,sig_nvis_mvg,19,19.0,0.06360645571332336,-0.3629002429838154,0.3238739053973769
Larrimah,cond_dea,19,19.0,0.1252448582170299,0.2158818173170971,0.7860146577483654
Larrimah,convertibility,18,18.0,0.17399565712259663,-0.25864821368063534,0.45910444266123673
Wadeye,sig_landsys,407,115.6,0.02146294334159745,0.40355410532705854,0.3286927141637679
Wadeye,sig_nvis_mvg,409,133.7,0.5107165919463945,0.6110547241158866,0.6556518610923632
Wadeye,cond_dea,409,141.8,0.10508082746234976,-0.0789386929581984,-0.021406898650183335
Wadeye,convertibility,230,194.3,0.09596333080229756,0.26683362919244596,0.1647813449636204
GunnPoint,sig_landsys,23236,2634.6,0.13994939944036594,0.3074731943368919,0.1605465082533523
GunnPoint,sig_nvis_mvg,22681,3669.0,0.20602426914252964,0.7351626773336081,0.2123758172142632
GunnPoint,cond_dea,10438,3115.8,-0.0573906459277968,-0.02849959560997922,0.03189022039054305
GunnPoint,convertibility,19783,2483.0,0.18604554076501578,-0.12343958534255571,0.16664206834993978
GunnPoint,protection,23315,2561.2,-0.02045725005666324,-0.5789906197026932,0.042772023609875844
DeepWell,sig_landsys,6,3.0,0.35355339059327373,0.8149936099415036,
DeepWell,sig_nvis_mvg,6,3.0,-0.254000254000381,-0.5955750300035746,
DeepWell,cond_dea,6,3.0,0.0,-0.42187469552271895,
DeepWell,convertibility,6,3.0,0.11952286093343938,0.6779298829440573,
